epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4557.63,0.51537,0.30835,0.87277,0.99565,0.9949,0.99493,0.93378,0.49735,0.26926,0.80487,0.00383421,0.00383421,0.00383421
73,4606.09,0.5068,0.30786,0.87194,0.99651,0.99374,0.99481,0.93402,0.50046,0.26873,0.80658,0.00374737,0.00374737,0.00374737
74,4656.62,0.50783,0.30683,0.87082,0.99807,0.99268,0.99491,0.93549,0.49694,0.26737,0.80444,0.00371565,0.00371565,0.00371565
75,4706.91,0.50476,0.30505,0.8706,0.99739,0.99318,0.99493,0.93429,0.49732,0.26714,0.80544,0.00362957,0.00362957,0.00362957
76,4757.24,0.50328,0.30353,0.86805,0.99631,0.99373,0.99489,0.9321,0.49497,0.26348,0.80468,0.00354348,0.00354348,0.00354348
77,4808.03,0.49752,0.30109,0.86876,0.99636,0.99497,0.99491,0.9358,0.48682,0.2637,0.79981,0.00351379,0.00351379,0.00351379
78,4858.18,0.49842,0.30167,0.86692,0.99633,0.99558,0.99493,0.93696,0.48832,0.2611,0.79969,0.00342845,0.00342845,0.00342845
79,4907.66,0.49309,0.29592,0.86817,0.99707,0.99516,0.99491,0.93403,0.48675,0.2605,0.79959,0.0033431,0.0033431,0.0033431
80,4958.05,0.49153,0.29525,0.86611,0.99666,0.99557,0.99486,0.93501,0.48714,0.26256,0.80087,0.00325776,0.00325776,0.00325776
81,5008.3,0.4915,0.2971,0.86757,0.99791,0.99505,0.99488,0.93564,0.4886,0.26123,0.80195,0.00323077,0.00323077,0.00323077
82,5057.81,0.48577,0.29237,0.86519,0.99791,0.99481,0.9949,0.93714,0.4841,0.25967,0.80086,0.00314615,0.00314615,0.00314615
83,5106.52,0.48662,0.29078,0.86411,0.99708,0.99582,0.99492,0.93767,0.48186,0.25885,0.801,0.00306154,0.00306154,0.00306154
